WAREHOUSE INVENTORY LIST,,,,,,,,,
TOTAL INVENTORY VALUE:,INVENTORY ITEMS:,BIN COUNT:,INVENTORY PICK LIST,BIN LOOKUP,,,,,
"$4,649.00",11,6,,,,,,,
SKU,DESCRIPTION,BIN #,LOCATION,UNIT,QTY,REORDER QTY,COST,INVENTORY VALUE,REORDER
SP7875,Item 1,T345,"Row 2, slot 1",Each,20,10,$30.00 ,$600.00 ,
TR87680,Item 2,T345,"Row 2, slot 1",Each,30,15,$40.00 ,"$1,200.00 ",
MK676554,Item 3,T5789,"Row 1, slot 1",Each,10,5,$5.00 ,$50.00 ,
YE98767,Item 4,T9876,"Row 3, slot 2",Box (10 ct),40,10,$15.00 ,$600.00 ,
XR23423,Item 5,T098,"Row 3, slot 1",Each,12,10,$26.00 ,$312.00 ,
PW98762,Item 6,T345,"Row 2, slot 1",Each,7,10,$50.00 ,$350.00 ,Reorder
BM87684,Item 7,T349,"Row 1, slot 2",Each,10,5,$10.00 ,$100.00 ,
BH67655,Item 8,T5789,"Row 1, slot 1",Each,19,10,$3.00 ,$57.00 ,
WT98768,Item 9,T9875,"Row 2, slot 2",Package (5 ct),20,30,$14.00 ,$280.00 ,Reorder
TS3456,Item 10,T349,"Row 1, slot 2",Each,15,8,$60.00 ,$900.00 ,
WDG123,Item 11,T349,"Row 1, slot 2",Each,25,15,$8.00 ,$200.00 ,
